arm,test_set,note_f1_onset,note_f1_onset_ci_lo,note_f1_onset_ci_hi,note_f1_onset_ci_half,multi_f1,multi_f1_ci_lo,multi_f1_ci_hi,multi_f1_ci_half,n_tracks,status
slakh,slakh,0.07229490532483053,0.06680458249270742,0.07769217202243422,0.005443794764863404,0.08343973008097441,0.07712465886499785,0.08986779075829214,0.006371565946647145,151,ok
slakh,spdmx,0.04120815078262955,0.040437695704782034,0.04196387219757856,0.0007630882463982615,0.010297254855306547,0.009755192423014475,0.010863191975037524,0.0005539997760115245,4420,ok
spdmx,slakh,0.07517773536875182,0.06938693696693962,0.08083242269976101,0.005722742866410696,0.06618345199919075,0.059917050775750914,0.07254498659627709,0.006313967910263087,151,ok
spdmx,spdmx,0.26452531864897666,0.2582854138257106,0.2707805055729207,0.00624754587360507,0.1914381704523877,0.1854779033175575,0.19742750125662292,0.0059747989695327075,4420,ok
