gm_id,n_stems,wall_seconds,active_seconds,label,wall_hours,active_hours,active_frac
0,278801,20912098.334784582,17033507.64360544,Acoustic Grand Piano (0),5808.916204106828,4731.5299010015115,0.814528861279903
52,66907,11008316.691836735,7927540.289183673,Choir Aahs (52),3057.8657477324264,2202.0945247732425,0.7201410089393936
40,11592,2800779.9104988663,1817247.5946031746,Violin (40),777.9944195830184,504.7909985008818,0.6488362715653341
73,11708,2143235.194988662,1316589.3883219955,Flute (73),595.3431097190728,365.71927453388764,0.614300003751553
42,6071,1493301.0793197278,1020050.5362585034,Cello (42),414.80585536659106,283.34737118291764,0.6830843092427059
71,7688,1745357.0874376418,905709.312063492,Clarinet (71),484.82141317712274,251.58592001763668,0.518924934377276
128,12486,2403173.8265759638,851097.9847845805,Drums,667.54828515999,236.4161068846057,0.3541558148530699
57,8318,1663000.6748072563,845013.7343310658,Trombone (57),461.94463189090453,234.72603731418494,0.5081259118725275
60,6378,1477713.222086168,664149.4978231293,French Horn (60),410.47589502393555,184.4859716175359,0.4494441058634594
59,7628,1485030.916643991,643265.5144444444,Muted Trumpet (59),412.50858795666414,178.6848651234568,0.43316641238564574
58,5831,1002897.1736281179,634213.5654195012,Tuba (58),278.5825482300327,176.1704348387503,0.6323814465695887
41,3614,980908.6632653062,606679.9521088435,Viola (41),272.47462868480727,168.5222089191232,0.6184877092320622
6,2588,629819.3495238095,480970.0328798186,Harpsichord (6),174.9498193121693,133.60278691106072,0.7636634746828085
65,4543,818240.004739229,458408.4454648526,Alto Sax (65),227.28889020534137,127.33567929579239,0.5602371465703956
68,3312,930704.7852380952,451698.811814059,Oboe (68),258.529107010582,125.47189217057193,0.4853298478512757
70,2920,869981.5421315193,425315.4636054422,Bassoon (70),241.66153948097758,118.14318433484506,0.48887872099376706
16,2561,561393.6646485261,391844.57990929706,Drawbar Organ (16),155.94268462459058,108.8457166414714,0.6979853970290539
43,2593,676456.8163492064,389498.24990929704,Contrabass (43),187.9046712081129,108.19395830813806,0.5757917438268918
46,2884,714706.1201360545,376125.3369614512,Orchestral Harp (46),198.5294778155707,104.47926026706978,0.5262657284785115
19,3359,447506.5338095238,357580.853446712,Church Organ (19),124.3073705026455,99.32801484630889,0.7990516929500573
66,3078,534756.0578004535,310480.34698412695,Tenor Sax (66),148.54334938901485,86.24454082892416,0.5806018322844021
24,2620,345905.80569161,254737.09691609978,Acoustic Guitar (nylon) (24),96.08494602544721,70.7603046989166,0.7364348696223068
44,1588,363922.1481632653,223463.0830612245,Tremolo Strings (44),101.08948560090703,62.07307862811791,0.6140408991017852
56,2214,497329.4862358277,222168.48544217687,Trumpet (56),138.14707950995214,61.71346817838246,0.44672293035291144
37,1564,295026.06952380954,207628.87077097505,Slap Bass 2 (37),81.95168597883598,57.67468632527085,0.7037644880199942
67,1854,334221.98750566895,192422.8003628118,Baritone Sax (67),92.83944097379693,53.45077787855883,0.5757335171120302
74,995,203969.6186394558,148947.69074829933,Recorder (74),56.65822739984883,41.374358541194255,0.7302444929878736
53,1108,224540.82002267573,126015.13383219954,Voice Oohs (53),62.37245000629881,35.004203842277654,0.5612125840614354
91,3489,129793.70376417233,123246.26734693878,Pad 4 (choir) (91),36.05380660115898,34.23507426303855,0.9495550536940539
12,1319,261465.07142857142,109835.11911564626,Marimba (12),72.62918650793651,30.50975530990174,0.4200756855037583
48,996,164636.4090929705,103271.83083900227,String Ensemble 1 (48),45.732335859158475,28.68661967750063,0.6272721289777674
72,1620,274578.9846938776,101601.12287981859,Piccolo (72),76.27194019274377,28.22253413328294,0.37002512407528776
26,1010,185586.44113378684,99424.58120181406,Electric Guitar (jazz) (26),51.55178920382968,27.617939222726125,0.5357319241341568
47,1473,457689.00124716555,93061.83678004536,Timpani (47),127.13583367976821,25.850510216679265,0.20332985176934418
